,Author,LongShort,Company,Mcap,Price,Ticker
0,coffee1029,long,SK Kaken,932000000,37500.0,4628
1,HTC2012,long,ARAMARK,5903000000,23.19,ARMK
2,martin92,long,DROPBOX INC,7635000000,18.08,DBX
3,nha855,long,PEABODY ENERGY CORP,325000000,3.35,BTU
4,mpk391,long,Summerset Group Holdings,1327000000,5.96,SUM
5,moneytr33,long,FIVE BELOW INC,4287000000,77.1,FIVE
6,darthtrader,long,BRITVIC BVIC,2285000000,6.91,LN
7,torico780,long,Wadell Reed,782000000,11.87,WDR
8,murman,long,TANGER FACTORY OUTLET CTRS,595000000,6.56,SKT
9,nha855,long,CONTURA ENERGY INC,46000000,2.54,CTRA
10,goirish,long,ARCOS DORADOS HOLDINGS INC,681000000,3.3,ARCO
11,cuyler1903,long,CRIMSON WINE GROUP LTD,123000000,5.33,CWGL
12,murman,long,UBER TECHNOLOGIES INC,39416000000,25.62,UBER
13,tychus,short,ZOOM VIDEO COMUNICATIONS INC,3576000000,113.0,ZM
14,lpartners,long,GENESIS ENERGY -LP,467000000,3.81,GEL
15,LimitedDownside,long,LIBERTY LATIN AMERICA LTD,1683000000,9.27,LILAK
16,grizzlybear,long,ZIX CORP,244000000,3.31,ZIXI
17,gandalf,long,INVESCO MORTGAGE CAPITAL INC,111000000,4.7,IVR.PA
18,Shakalu,long,AIRBUS SE (EADSY),41860000000,49.5,EADSY
19,ElmSt14,long,INTERNATIONAL MONEY EXPR INC,300000000,7.89,IMXI
